City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,30.09,74,20,3.6,TO,1681099042
1,mazatlan,23.2167,-106.4167,21.36,64,71,3.42,MX,1681099043
2,mataura,-46.1927,168.8643,15.9,83,100,1.8,NZ,1681099044
3,solnechnyy,50.7214,136.6319,9.44,47,50,2.07,RU,1681099045
4,bathsheba,13.2167,-59.5167,26.34,78,20,8.23,BB,1681099045
5,saldanha,-33.0117,17.9442,13.03,76,40,4.28,ZA,1681099045
6,kuito,-12.3833,16.9333,15.18,96,100,1.07,AO,1681099046
7,barrow,71.2906,-156.7887,-16.99,71,100,3.09,US,1681099046
8,klaksvik,62.2266,-6.589,6.51,97,100,12.64,FO,1681099046
9,kholm,59.2667,32.85,2.82,87,82,1.91,RU,1681099047
10,lagoa,39.05,-27.9833,14.97,84,8,4.4,PT,1681099047
11,provideniya,64.3833,-173.3,-14.94,43,75,5.0,RU,1681099048
12,kuandian,40.7286,124.7847,12.94,58,95,7.56,CN,1681099048
13,the valley,18.217,-63.0578,25.05,76,0,6.74,AI,1681099049
14,ushuaia,-54.8,-68.3,3.81,75,40,12.35,AR,1681099049
15,punta arenas,-53.15,-70.9167,5.06,60,40,6.17,CL,1681099050
16,coihaique,-45.5752,-72.0662,6.97,57,75,2.06,CL,1681099050
17,saint george,37.1041,-113.5841,22.33,29,0,1.34,US,1681099051
18,kieta,-6.2167,155.6333,28.41,76,100,1.32,PG,1681099051
19,anda,46.4,125.3167,20.75,21,77,11.27,CN,1681099051
20,patrocinio,-18.9439,-46.9925,16.73,94,72,1.95,BR,1681099052
21,keningau,5.3378,116.1602,30.9,59,90,1.2,MY,1681099052
22,saskylakh,71.9167,114.0833,-17.1,87,99,4.96,RU,1681099053
23,dhidhdhoo,6.8833,73.1,28.78,73,17,5.04,MV,1681099053
24,geraldton,-28.7667,114.6,24.23,46,40,6.17,AU,1681099054
25,hilo,19.7297,-155.09,25.85,71,0,3.09,US,1681099054
26,rikitea,-23.1203,-134.9692,24.98,64,0,4.04,PF,1681099055
27,kirakira,-10.4544,161.9205,29.95,67,83,3.41,SB,1681099055
28,bluff,-46.6,168.3333,15.21,88,98,6.69,NZ,1681099055
29,qaanaaq,77.484,-69.3632,-25.18,69,0,2.8,GL,1681099056
30,butaritari,3.0707,172.7902,27.66,76,84,4.24,KI,1681099057
31,tura,25.5198,90.2201,31.87,21,2,2.41,IN,1681099057
32,faanui,-16.4833,-151.75,27.78,74,100,7.64,PF,1681099057
33,georgetown,5.4112,100.3354,30.97,70,20,2.57,MY,1681099052
34,mount gambier,-37.8333,140.7667,15.43,59,92,3.6,AU,1681099058
35,ayorou,14.7308,0.9174,29.43,16,89,3.92,NE,1681099058
36,dikson,73.5069,80.5464,-26.25,100,94,4.36,RU,1681099059
37,saint-augustin,51.226,-58.6502,-2.73,91,100,3.9,CA,1681099059
38,bethel,41.3712,-73.414,5.36,72,0,0.0,US,1681099060
39,faya,18.3851,42.4509,14.06,63,0,1.58,SA,1681099060
40,busselton,-33.65,115.3333,19.99,61,100,7.78,AU,1681099060
41,aykhal,66.0,111.5,-18.6,82,100,4.3,RU,1681099061
42,pevek,69.7008,170.3133,-22.06,91,77,0.66,RU,1681099061
43,tecoanapa,16.5167,-98.75,26.66,75,28,1.81,MX,1681099061
44,shenjiamen,29.9576,122.298,15.01,83,3,8.04,CN,1681099062
45,ribeira grande,38.5167,-28.7,14.32,91,26,2.24,PT,1681099062
46,port alfred,-33.5906,26.891,15.02,77,9,6.44,ZA,1681099063
47,salym,60.0625,71.4789,-0.31,91,100,4.33,RU,1681099063
48,yar-sale,66.8333,70.8333,-14.24,93,100,7.48,RU,1681099063
49,guerrero negro,27.9769,-114.0611,14.66,88,1,4.04,MX,1681099064
50,bambous virieux,-20.3428,57.7575,26.79,94,75,2.57,MU,1681099064
51,hermanus,-34.4187,19.2345,15.45,72,47,9.76,ZA,1681099064
52,ongandjera,-17.8833,15.0667,21.23,45,88,2.37,NA,1681099065
53,kaitangata,-46.2817,169.8464,14.25,96,100,4.44,NZ,1681099065
54,balarampur,23.1167,86.2167,30.23,15,13,3.77,IN,1681099066
55,san quintin,30.4833,-115.95,14.8,85,0,3.95,MX,1681099066
56,lorengau,-2.0226,147.2712,25.06,91,100,2.28,PG,1681099067
57,puerto ayora,-0.7393,-90.3518,25.86,89,69,0.52,EC,1681099067
58,bukachacha,52.9833,116.9167,-2.57,87,100,4.52,RU,1681099067
59,labuhan,-6.8844,112.2051,30.05,65,77,3.31,ID,1681099068
60,victoria,22.2855,114.1577,26.09,82,34,0.45,HK,1681098819
61,mar del plata,-38.0023,-57.5575,21.02,72,61,4.02,AR,1681099068
62,nikolskoye,59.7035,30.7861,2.11,96,97,1.65,RU,1681099069
63,kiunga,-6.1219,141.2906,31.16,54,100,1.29,PG,1681099070
64,albany,42.6001,-73.9662,5.73,50,6,1.34,US,1681099055
65,katsuura,35.1333,140.3,17.49,50,1,9.49,JP,1681099070
66,new norfolk,-42.7826,147.0587,12.17,63,76,0.89,AU,1681099071
67,cape town,-33.9258,18.4232,16.88,77,40,5.14,ZA,1681098973
68,san patricio,28.017,-97.5169,21.58,81,100,4.17,US,1681099071
69,zabol,32.25,67.25,16.04,34,0,0.52,AF,1681099071
70,vardo,70.3705,31.1107,-0.01,80,63,8.23,NO,1681099072
71,praya,14.9215,-23.5087,21.3,60,75,6.17,CV,1681099072
72,deputatskiy,69.3,139.9,-15.67,65,100,5.16,RU,1681099073
73,kapaa,22.0752,-159.319,25.99,83,100,8.75,US,1681099073
74,bethanien,-26.502,17.1583,7.88,66,7,1.82,NA,1681099073
75,saint-philippe,-21.3585,55.7679,24.77,81,100,4.54,RE,1681099074
76,bandarbeyla,9.4942,50.8122,27.93,71,84,5.48,SO,1681099074
77,sur,22.5667,59.5289,27.37,58,25,3.07,OM,1681099075
78,thurso,58.5927,-3.5259,8.14,93,100,8.78,GB,1681099075
79,te anau,-45.4167,167.7167,14.85,75,100,0.89,NZ,1681099075
80,huarmey,-10.0681,-78.1522,25.24,81,100,4.09,PE,1681099076
81,norman wells,65.282,-126.8329,2.02,64,75,1.03,CA,1681099076
82,kruisfontein,-34.0033,24.7314,9.38,77,0,3.59,ZA,1681099076
83,dingle,10.9995,122.6711,29.52,63,100,4.29,PH,1681099077
84,atuona,-9.8,-139.0333,27.13,77,17,5.71,PF,1681099077
85,tiksi,71.6872,128.8694,-15.84,79,100,1.83,RU,1681099079
86,castro,-24.7911,-50.0119,14.31,99,81,2.62,BR,1681099079
87,rockport,28.0206,-97.0544,21.67,100,100,3.6,US,1681099079
88,bredasdorp,-34.5322,20.0403,15.0,66,63,8.42,ZA,1681099080
89,nimaj,26.1497,74.0,32.89,9,46,3.38,IN,1681099080
90,mokhsogollokh,61.4681,128.9203,-3.23,71,87,1.95,RU,1681099081
91,tigre,-34.426,-58.5796,22.0,79,0,2.57,AR,1681099081
92,nantucket,41.2835,-70.0995,6.03,60,0,3.09,US,1681099082
93,tuktoyaktuk,69.4541,-133.0374,-9.0,86,100,7.2,CA,1681099082
94,korla,41.7597,86.1469,14.57,27,63,0.99,CN,1681099083
95,upernavik,72.7868,-56.1549,-17.97,96,100,7.67,GL,1681099083
96,poum,-20.2333,164.0167,26.67,67,0,2.03,NC,1681099084
97,campos altos,-19.6961,-46.1714,16.06,99,73,2.0,BR,1681099084
98,zeya,53.75,127.2667,3.4,47,100,2.45,RU,1681099084
99,chapais,49.7834,-74.8492,-0.12,93,17,4.19,CA,1681099085
100,salalah,17.0151,54.0924,26.73,71,4,1.2,OM,1681099085
101,maldonado,-34.6667,-54.9167,19.01,91,0,3.2,UY,1681099086
102,yatou,37.15,122.3833,15.11,65,22,10.15,CN,1681099086
103,upornaya,44.3914,41.0196,7.85,80,96,1.88,RU,1681099087
104,talara,-4.5772,-81.2719,27.27,77,99,3.83,PE,1681099087
105,goroka,-6.0834,145.3873,21.28,85,92,1.07,PG,1681099088
106,charters towers,-20.1,146.2667,31.96,20,1,1.77,AU,1681099088
107,mahibadhoo,3.7833,72.9667,28.86,73,35,4.83,MV,1681099088
108,boueni,-12.9025,45.0761,25.99,76,18,3.2,YT,1681099089
109,san cristobal,7.7669,-72.225,24.1,93,93,1.53,VE,1681099089
110,chuy,-33.6971,-53.4616,17.28,93,0,2.17,UY,1681099090
